simulation,segmented_fraction,mean_region_area,median_region_area,separability,connected_components,threshold_instability
36.0,0.0557449,0.333109,0.146554,0.332004,0.0687278,0.0638608
37.0,0.0481538,0.198865,0.123755,0.16499,0.244382,0.219854
38.0,0.182665,0.24443,0.0060178,0.262987,0.227245,0.0766559
39.0,0.031116,0.0922359,0.26293,0.0423046,0.186037,0.385376
40.0,0.0546195,0.58927,0.0082713,0.00509252,0.254361,0.0883866
41.0,0.067477,0.218134,0.275566,0.0917749,0.234543,0.112505
42.0,0.0693174,0.0336304,0.190311,0.295935,0.369059,0.041747
43.0,0.263593,0.1319,0.439903,0.0567155,0.0151471,0.0927417
44.0,0.0155899,0.10394,0.107642,0.0250172,0.68114,0.0666705
45.0,0.563054,0.0944349,0.239364,0.0424578,0.0554422,0.00524642
46.0,0.243089,0.0534607,0.104231,0.130764,0.0270592,0.441396
47.0,0.325439,0.0448738,0.0643228,0.295487,0.0756028,0.194275
48.0,0.197775,0.0110409,0.095489,0.417691,0.0198275,0.258177
49.0,0.0076733,0.407173,0.0386473,0.0372616,0.165737,0.343508
50.0,0.364225,0.157873,0.197394,0.125324,0.0219989,0.133185
51.0,0.0428639,0.25407,0.197073,0.0918418,0.182403,0.231748
52.0,0.0926623,0.167189,0.169047,0.044958,0.115828,0.410316
53.0,0.275388,0.132251,0.138245,0.0916793,0.268826,0.0936111
54.0,0.11727,0.0783431,0.0734683,0.351657,0.262508,0.116753
55.0,0.273176,0.0338853,0.106143,0.298318,0.23427,0.054208
56.0,0.45026,0.00556396,0.161406,0.0139793,0.356239,0.0125515
57.0,0.17231,0.0201082,0.504222,0.0641959,0.130403,0.10876
58.0,0.0608305,0.130945,0.0671978,0.248864,0.00554335,0.486619
59.0,0.137137,0.0488418,0.0971675,0.205918,0.165128,0.345807
60.0,0.371447,0.154333,0.256961,0.109713,0.018773,0.0887735
61.0,0.0476093,0.319302,0.037066,0.206313,0.368034,0.0216758
62.0,0.174645,0.47985,0.0949225,0.0905385,0.122158,0.0378859
63.0,0.0226675,0.391089,0.302215,0.0741191,0.0407182,0.169191
64.0,0.457199,0.2279,0.0511137,0.0696375,0.115198,0.0789521
65.0,0.0490848,0.0486431,0.164051,0.529066,0.0290318,0.180123
66.0,0.272699,0.00132344,0.0570053,0.140048,0.236203,0.292721
67.0,0.148509,0.031385,0.151785,0.35967,0.117728,0.190923
68.0,0.33381,0.00413397,0.417928,0.00497413,0.225262,0.0138921
69.0,0.0341956,0.0624089,0.232419,0.0230595,0.415189,0.232728
70.0,0.0102119,0.00115181,0.0218882,0.125649,0.795308,0.0457911
71.0,0.147138,0.00883056,0.164378,0.209303,0.233396,0.236954
72.0,0.289048,0.0148947,0.14476,0.0766474,0.0822915,0.392358
73.0,0.334101,0.181288,0.0389993,0.170908,0.0445596,0.230144
74.0,0.0560099,0.342722,0.1376,0.0273568,0.399559,0.0367518
75.0,0.56172,0.0866119,0.0466832,0.0262182,0.0958945,0.182872
76.0,0.16134,0.0798471,0.307716,0.140939,0.0162082,0.29395
77.0,0.0689181,0.580224,0.0529424,0.0897392,0.195602,0.0125744
78.0,0.761881,0.129762,0.0749972,0.0175593,0.0073678,0.0084324
79.0,0.0603337,0.0577743,0.16148,0.362341,0.185532,0.172539
80.0,0.190706,0.333322,0.275682,0.0184878,0.0925292,0.0892737
81.0,0.0205208,0.12213,0.0158367,0.40164,0.411108,0.0287645
82.0,0.0140756,0.511218,0.0512419,0.115081,0.10041,0.207973
83.0,0.182146,0.402144,0.0331262,0.181454,0.0755189,0.125611
84.0,0.616653,0.0805167,0.175429,0.0952522,0.0292274,0.00292175
85.0,0.41593,0.0255011,0.0523332,0.24348,0.0995801,0.163176
86.0,0.078118,0.00301619,0.275473,0.506361,0.0854634,0.0515678
87.0,0.276726,0.0653395,0.11863,0.252124,0.0524952,0.234686
88.0,0.251342,0.225645,0.388144,0.00321358,0.0820707,0.0495844
89.0,0.130493,0.167649,0.102223,0.236755,0.140146,0.222734
90.0,0.134046,0.0558256,0.199825,0.242172,0.320829,0.0473032
91.0,0.234503,0.324325,0.0112668,0.134816,0.224732,0.0703571
92.0,0.227786,0.160475,0.02351,0.0739422,0.415428,0.0988584
93.0,0.258664,0.450023,0.107856,0.0176566,0.0451296,0.120671
94.0,0.0718802,0.099369,0.161532,0.186232,0.130607,0.350379
95.0,0.432022,0.155963,0.232634,0.0615608,0.0172367,0.100584
96.0,0.538027,0.0332365,0.0909904,0.207328,0.119288,0.0111296
97.0,0.633734,0.118517,0.0445546,0.0759134,0.00449373,0.122787
98.0,0.242852,0.119085,0.21911,0.0996726,0.214959,0.104321
99.0,0.0894358,0.168165,0.384175,0.0470657,0.301357,0.0098009
100.0,0.100765,0.077918,0.0957039,0.204854,0.0547726,0.465987
101.0,0.177155,0.326166,0.198436,0.164449,0.128356,0.00543827
102.0,0.284644,0.0754719,0.199954,0.292976,0.112238,0.0347158
103.0,0.0671082,0.0105466,0.250815,0.124389,0.290739,0.256402
104.0,0.010879,0.467706,0.0386835,0.0202544,0.301181,0.161297
105.0,0.240375,0.499009,0.0839397,0.140934,0.000476985,0.0352661
106.0,0.190959,0.00212866,0.178472,0.169053,0.0165724,0.442815
107.0,0.163403,0.269807,0.0187096,0.157953,0.0473125,0.342814
108.0,0.131468,0.190728,0.0644617,0.12729,0.275748,0.210304
109.0,0.0042395,0.0108516,0.185377,0.456101,0.282727,0.0607037
110.0,0.232113,0.482267,0.0586894,0.093004,0.084265,0.0496615
111.0,0.119719,0.100621,0.057032,0.0168371,0.0949187,0.610873
112.0,0.0729828,0.0507119,0.292006,0.0971811,0.268848,0.21827
113.0,0.147791,0.0462859,0.108637,0.369231,0.172719,0.155336
114.0,0.188541,0.363444,0.228384,0.0559393,0.110453,0.0532383
115.0,0.507621,0.0468352,0.0430161,0.100131,0.220795,0.0816025
116.0,0.109634,0.0646618,0.427345,0.285254,0.0599356,0.0531697
117.0,0.0158494,0.218259,0.466796,0.0871797,0.209148,0.00276765
118.0,0.753456,0.0108293,0.154197,0.00555855,0.0350519,0.040907
119.0,0.292144,0.0183804,0.12409,0.0669325,0.0335315,0.464922
120.0,0.329666,0.0671808,0.392724,0.134255,0.000757152,0.075417
121.0,0.343626,0.000499181,0.137227,0.201391,0.0858454,0.231412
122.0,0.297472,0.101889,0.0956036,0.0246858,0.102828,0.377521
123.0,0.0865784,0.108251,0.427141,0.059345,0.00669682,0.311988
124.0,0.216633,0.0447977,0.0275074,0.209365,0.491968,0.00972952
125.0,0.0219535,0.0336636,0.0512427,0.300776,0.0170339,0.575331
126.0,0.294721,0.5847,0.00114641,0.0253311,0.0859209,0.00818048
127.0,0.316994,0.258573,0.0526758,0.153925,0.159653,0.0581792
128.0,0.0672099,0.275952,0.0822979,0.341389,0.139018,0.0941331
129.0,0.356506,0.244179,0.157257,0.00758143,0.221439,0.0130367
130.0,0.0211789,0.279794,0.209275,0.203425,0.0338782,0.252449
131.0,0.405572,0.0158511,0.0925889,0.381594,0.06254,0.0418549
132.0,0.221418,0.000923554,0.00545884,0.301817,0.0541123,0.416271
133.0,0.320438,0.239438,0.0891542,0.0359011,0.0161723,0.298896
134.0,0.0464195,0.0902686,0.339149,0.0174494,0.477023,0.0296912
135.0,0.0234865,0.00946342,0.268599,0.41224,0.151156,0.135055
136.0,0.0399061,0.154802,0.162152,0.195962,0.219812,0.227366
137.0,0.0035744,0.214411,0.178295,0.375956,0.0229864,0.204777
138.0,0.172106,0.176266,0.0437249,0.387911,0.19066,0.0293324
139.0,0.479175,0.0599788,0.0328262,0.209157,0.119729,0.0991342
140.0,0.0122991,0.192031,0.373202,0.117296,0.249558,0.0556134
141.0,0.0323478,0.467693,0.117953,0.154587,0.0778662,0.149553
142.0,0.0711265,0.0115282,0.405607,0.0380805,0.0781937,0.395464
143.0,0.195133,0.155251,0.386761,0.0318396,0.118949,0.112067
144.0,0.555424,0.27446,0.0350708,0.0265891,0.0736346,0.0348208
145.0,0.0785002,0.0189745,0.150805,0.0374733,0.0409798,0.673267
146.0,0.263583,0.333342,0.0102126,0.047598,0.0728633,0.272401
147.0,0.104318,0.000683426,0.0371036,0.185998,0.625308,0.0465892
148.0,0.0999744,0.14852,0.0999493,0.265072,0.352886,0.0335989
149.0,0.364939,0.0511951,0.0807933,0.291769,0.169365,0.0419383
150.0,0.156978,0.28105,0.274196,0.0793146,0.161922,0.0465391
151.0,0.0461415,0.0683852,0.500991,0.0943869,0.155223,0.134873
152.0,0.161904,0.343131,0.0498682,0.15458,0.0475451,0.242971
153.0,0.0669142,0.0650772,0.335481,0.0382523,0.144675,0.3496
154.0,0.0474788,0.413834,0.122469,0.101225,0.116511,0.198482
155.0,0.0492681,0.192477,0.347893,0.278488,0.0986451,0.0332282
156.0,0.062371,0.30594,0.175852,0.0751239,0.00606358,0.374649
157.0,0.0867749,0.31272,0.164358,0.219593,0.0422792,0.174275
158.0,0.462875,0.111661,0.107926,0.16386,0.0805604,0.0731175
159.0,0.00409304,0.326561,0.252638,0.1058,0.204919,0.105988
160.0,0.0181789,0.0231737,0.494664,0.187838,0.0662098,0.209936
161.0,0.0797879,0.169805,0.120784,0.155167,0.000631827,0.473824
162.0,0.0255463,0.268082,0.0710317,0.116164,0.282513,0.236663
163.0,0.333325,0.0561115,0.346951,0.100699,0.05748,0.105434
164.0,0.190165,0.0655382,0.0640005,0.503885,0.0174949,0.158917
165.0,0.34838,0.0435581,0.191893,0.0424097,0.356626,0.0171336
166.0,0.102607,0.139326,0.264967,0.166102,0.297349,0.0296485
167.0,0.248565,0.383062,0.223458,0.0600108,0.0354849,0.0494185
168.0,0.0210337,0.180014,0.131245,0.131428,0.15932,0.37696
169.0,0.0150803,0.11245,0.0546408,0.274191,0.468827,0.0748112
170.0,0.188963,0.0144852,0.191185,0.111425,0.292171,0.201771
171.0,0.258501,0.0886539,0.102042,0.299725,0.092684,0.158394
172.0,0.0432753,0.242913,0.176581,0.183431,0.192865,0.160935
173.0,0.00906539,0.0410285,0.234122,0.195787,0.192143,0.327854
174.0,0.188845,0.175046,0.15616,0.0151455,0.165753,0.29905
175.0,0.0445141,0.301512,0.135695,0.161467,0.126748,0.230063
176.0,0.138367,0.174575,0.0613379,0.161548,0.060746,0.403426
177.0,0.123781,0.121881,0.232557,0.0361534,0.0376964,0.447931
178.0,0.146729,0.135384,0.00264583,0.0793128,0.36887,0.267058
179.0,0.153932,0.318095,0.14051,0.182046,0.131065,0.0743524
180.0,0.11786,0.100575,0.459252,0.0173741,0.0893381,0.2156
181.0,0.116359,0.424078,0.0777547,0.0264186,0.344076,0.0113136
182.0,0.097554,0.0728888,0.160972,0.227107,0.112034,0.329444
183.0,0.0217502,0.180139,0.401939,0.219188,0.0715649,0.105418
184.0,0.0917293,0.0763497,0.237336,0.214914,0.203268,0.176403
185.0,0.140968,0.298427,0.0352182,0.217341,0.00152207,0.306524
186.0,0.108502,0.122514,0.585136,0.171098,0.0126769,7.31363e-05
187.0,0.065909,0.344521,0.0253538,0.18107,0.340234,0.0429127
188.0,0.0366798,0.544216,0.129664,0.0776297,0.200096,0.011715
189.0,0.257658,0.227547,0.0754227,0.060549,0.137082,0.241741
190.0,0.272304,0.383251,0.0341083,0.0469516,0.229203,0.0341827
191.0,0.00289423,0.0764909,0.116324,0.117161,0.361294,0.325836
192.0,0.0725541,0.159031,0.0821438,0.128175,0.384956,0.173141
193.0,0.0444505,0.0242884,0.40251,0.152809,0.252782,0.12316
194.0,0.0774851,0.639769,0.22034,0.00586804,0.0167984,0.0397396
195.0,0.086952,0.0401638,0.226491,0.11356,0.443672,0.0891609
196.0,0.0952109,0.0698619,0.135681,0.0368796,0.22576,0.436607
197.0,0.0215361,0.00135828,0.165737,0.240822,0.404117,0.166429
198.0,0.110076,0.164342,0.0889481,0.603574,0.0117907,0.0212696
199.0,0.206241,0.085624,0.47813,0.117937,0.0632333,0.0488338
200.0,0.209218,0.0386097,0.122387,0.247146,0.278999,0.10364
201.0,0.00768117,0.0734757,0.0884632,0.100818,0.0444544,0.685107
202.0,0.359698,0.0243648,0.0219958,0.155279,0.41614,0.0225222
203.0,0.191771,0.127218,0.198362,0.205442,0.164794,0.112413
204.0,0.324795,0.155184,0.132191,0.116435,0.217285,0.0541099
205.0,0.487786,0.182865,0.0203401,0.144239,0.149863,0.0149072
206.0,0.161458,0.0986007,0.0579656,0.0849559,0.394253,0.202767
207.0,0.0732171,0.0484184,0.378511,0.129452,0.253726,0.116675
208.0,0.0376942,0.17683,0.0912753,0.130513,0.23872,0.324967
209.0,0.217335,0.166447,0.271319,0.0551963,0.0662832,0.22342
210.0,0.0691014,0.0680392,0.380451,0.302689,0.0712986,0.108421
211.0,0.295487,0.0167193,0.216246,0.0318016,0.331112,0.108634
212.0,0.0805401,0.000222217,0.0149018,0.182145,0.7056,0.0165915
213.0,0.243723,0.407734,0.0781702,0.243712,0.00298954,0.0236717
214.0,0.0570082,0.110552,0.247007,0.347013,0.0948949,0.143525
215.0,0.307345,0.0606795,0.040764,0.131963,0.417944,0.041304
216.0,0.176955,0.394734,0.0717032,0.0943986,0.12479,0.13742
217.0,0.206153,0.184973,0.0841002,0.395648,0.0876721,0.0414538
218.0,0.219477,0.412154,0.0702422,0.201004,0.0897257,0.00739724
219.0,0.0594921,0.25045,0.300588,0.0566426,0.212847,0.11998
220.0,0.416061,0.0174507,0.0704901,0.097239,0.153311,0.245448
221.0,0.105937,0.103678,0.025957,0.537221,0.0779427,0.149264
222.0,0.342492,0.0236277,0.144481,0.0859246,0.289716,0.113758
223.0,0.093806,0.002894,0.586036,0.0247417,0.212053,0.0804694
224.0,0.306944,0.0155119,0.252439,0.385275,0.0294318,0.0103986
225.0,0.172479,0.0496291,0.0636176,0.219512,0.343864,0.150899
226.0,0.340002,0.0252831,0.518289,0.0285063,0.0247179,0.0632016
227.0,0.0891884,0.0217141,0.30667,0.030021,0.255305,0.297101
228.0,0.0726068,0.286891,0.212548,0.0666555,0.214158,0.14714
229.0,0.0388985,0.436259,0.113946,0.219133,0.0662062,0.125557
230.0,0.031843,0.0411155,0.160808,0.228069,0.459724,0.0784409
231.0,0.00657858,0.0407102,0.0424219,0.740907,0.0829287,0.0864534
232.0,0.629075,0.183665,0.100125,0.00732031,0.0228923,0.0569216
233.0,0.0768386,0.173956,0.259601,0.0803581,0.248543,0.160703
234.0,0.373682,0.160918,0.146971,0.101457,0.140354,0.0766173
235.0,0.0456778,0.137497,0.0644933,0.0615454,0.506908,0.183878
236.0,0.06142,0.134097,0.217673,0.478756,0.101039,0.00701568
237.0,0.106011,0.0127214,0.505659,0.0231189,0.0105617,0.341928
238.0,0.0953123,0.119182,0.096686,0.438448,0.144153,0.106219
239.0,0.0138847,0.358868,0.0322228,0.338673,0.00605048,0.250301
240.0,0.0765771,0.591275,0.242296,0.0176376,0.0185229,0.0536912
241.0,0.369247,0.0946357,0.0931654,0.187874,0.129695,0.125383
242.0,0.304093,0.134436,0.20919,0.078789,0.119435,0.154056
243.0,0.0749338,0.257376,0.355529,0.0274463,0.274499,0.0102164
244.0,0.0303095,0.109019,0.248586,0.470263,0.134207,0.00761557
245.0,0.481439,0.0731044,0.0794055,0.0298248,0.208987,0.12724
246.0,0.399688,0.247149,0.0857966,0.0708843,0.140313,0.0561681
247.0,0.0152491,0.129533,0.0849184,0.383889,0.310626,0.0757846
248.0,0.15544,0.0644706,0.235001,0.116049,0.181145,0.247893
249.0,0.176997,0.377661,0.0594131,0.0954753,0.0784623,0.211992
250.0,0.269399,0.182414,0.00618199,0.0524091,0.270077,0.219519
251.0,0.0724327,0.0829331,0.342653,0.16638,0.206336,0.129266
252.0,0.155889,0.254965,0.383505,0.128462,0.0590895,0.0180901
253.0,0.00466175,0.395326,0.172731,0.0634776,0.122271,0.241533
254.0,0.306568,0.0174571,0.0715651,0.125567,0.366763,0.11208
255.0,0.164875,0.194731,0.0596496,0.193833,0.33475,0.0521605
256.0,0.372152,0.0152253,0.0674028,0.0250549,0.011834,0.508331
257.0,0.112116,0.254501,0.347022,0.0496706,0.121658,0.115033
258.0,0.0853473,0.150951,0.0928682,0.385917,0.165172,0.119745
259.0,0.0427966,0.236918,0.0802708,0.0810485,0.549207,0.00975917
260.0,0.117066,0.205986,0.307852,0.295018,0.0724255,0.00165236
261.0,0.354,0.285367,0.0295311,0.22645,0.0657958,0.0388571
262.0,0.176032,0.231325,0.199708,0.0759548,0.191005,0.125975
263.0,0.119981,0.212315,0.150808,0.166079,0.273818,0.0769994
264.0,0.13143,0.18356,0.315357,0.0523954,0.260094,0.0571632
265.0,0.0480588,0.0665485,0.014049,0.261061,0.238765,0.371518
266.0,0.22709,0.286275,0.0889574,0.00724001,0.335014,0.0554238
267.0,0.0432457,0.746248,0.0248544,0.0139256,0.01173,0.159997
268.0,0.101912,0.0923432,0.181566,0.024394,0.032248,0.567537
269.0,0.285533,0.111578,0.329606,0.0106818,0.108756,0.153846
270.0,0.360877,0.167455,0.163953,0.0671385,0.214199,0.0263777
271.0,0.269848,0.093853,0.0158222,0.0494424,0.0862286,0.484805
272.0,0.112619,0.156843,0.462289,0.136867,0.00758563,0.123796
273.0,0.139954,0.035583,0.0166875,0.0767943,0.586495,0.144486
274.0,0.249761,0.180432,0.0517724,0.116822,0.357455,0.043757
275.0,0.00389771,0.524181,0.0344066,0.318991,0.0616878,0.0568359
276.0,0.134309,0.109897,0.41746,0.0688239,0.0209888,0.24852
277.0,0.23441,0.00725177,0.232685,0.339958,0.0777839,0.107911
278.0,0.0213966,0.0566149,0.187128,0.00518572,0.248023,0.481651
279.0,0.0273686,0.13689,0.055551,0.155998,0.372884,0.251308
280.0,0.0962815,0.0391039,0.740716,0.0564048,0.0665467,0.000947222
281.0,0.403687,0.137966,0.180673,0.175751,0.0483665,0.0535567
282.0,0.21162,0.162022,0.0105559,0.0869991,0.412188,0.116615
283.0,0.112914,0.0342619,0.450013,0.273442,0.0800487,0.0493197
284.0,0.0978322,0.158555,0.0501948,0.0846572,0.0150136,0.593747
285.0,0.0148822,0.00901097,0.330629,0.131766,0.219191,0.294521
286.0,0.0795728,0.156493,0.0853261,0.44035,0.196243,0.0420157
287.0,0.181019,0.0558778,0.320409,0.0701226,0.183189,0.189383
288.0,0.183742,0.0640999,0.167823,0.42143,0.0668151,0.0960899
289.0,0.139775,0.0265097,0.351444,0.168186,0.168731,0.145354
290.0,0.0879944,0.144063,0.169539,0.182116,0.327608,0.0886795
291.0,0.0698938,0.402734,0.3305,0.0412361,0.127028,0.0286076
292.0,0.0501319,0.0477729,0.130866,0.323709,0.077829,0.369691
293.0,0.286555,0.0970363,0.14655,0.123293,0.230696,0.115869
294.0,0.214953,0.275509,0.261019,0.088945,0.00735817,0.152215
295.0,0.0429399,0.573375,0.0803497,0.0851505,0.104581,0.113604
296.0,0.0312435,0.115623,0.0148094,0.000245578,0.12927,0.708808
297.0,0.218201,0.0250282,0.117678,0.0691348,0.439664,0.130294
298.0,0.168926,0.0899429,0.167801,0.155768,0.357685,0.059877
299.0,0.101789,0.154869,0.17743,0.055338,0.192,0.318574
300.0,0.0359918,0.257613,0.213728,0.197918,0.167013,0.127735
301.0,0.0874847,0.145027,0.253252,0.0751381,0.024093,0.415005
302.0,0.411746,0.0712189,0.0793002,0.248957,0.0929337,0.0958441
303.0,0.26959,0.0927306,0.28396,0.0834552,0.152543,0.117722
304.0,0.00775088,0.200704,0.0382508,0.035314,0.631474,0.0865055
305.0,0.0257875,0.270479,0.199908,0.312752,0.100149,0.0909257
306.0,0.0210275,0.281288,0.00643921,0.337062,0.0382617,0.315921
307.0,0.324702,0.279833,0.00989966,0.110687,0.269502,0.00537605
308.0,0.0550093,0.0747619,0.304349,0.0387919,0.0319705,0.495117
309.0,0.089059,0.0894814,0.280879,0.239386,0.113222,0.187972
310.0,0.172333,0.505695,0.06395,0.0640447,0.186396,0.00758102
311.0,0.0267373,0.0759692,0.0436584,0.015088,0.638028,0.200519
312.0,0.0429007,0.262923,0.36794,0.198837,0.0080807,0.119319
313.0,0.144512,0.150295,0.023433,0.246315,0.418493,0.0169523
314.0,0.0344784,0.0012713,0.189281,0.523793,0.00219158,0.248985
315.0,0.0601331,0.295348,0.383827,0.165485,0.0137303,0.0814762
316.0,0.019796,0.495716,0.0671518,0.0265593,0.0373878,0.353389
317.0,0.0190005,0.216454,0.364653,0.08566,0.18013,0.134102
318.0,0.261762,0.219523,0.0300104,0.145902,0.0832613,0.259542
319.0,0.235466,0.0457825,0.055476,0.0658899,0.262846,0.334539
320.0,0.0244377,0.381943,0.250964,0.0156589,0.180695,0.146301
321.0,0.209213,0.0228227,0.293585,0.218786,0.0882824,0.167311
322.0,0.228825,0.0073318,0.0852061,0.286368,0.0873194,0.30495
323.0,0.0269299,0.221833,0.417576,0.0229652,0.265162,0.0455339
324.0,0.0783076,0.0661096,0.332182,0.00933031,0.18006,0.33401
325.0,0.203633,0.0804791,0.132884,0.0701195,0.0968141,0.416071
326.0,0.12633,0.322579,0.0653289,0.00643762,0.182206,0.297119
327.0,0.0380066,0.430289,0.0466222,0.13648,0.310049,0.0385526
328.0,0.202129,0.157681,0.222174,0.0166065,0.0602976,0.341111
329.0,0.0049142,0.360005,0.26974,0.0200596,0.0346254,0.310655
330.0,0.215457,0.178977,0.10154,0.186712,0.144798,0.172516
331.0,0.306323,0.00599645,0.377055,0.0582899,0.057223,0.195113
332.0,0.51885,0.216021,0.073083,0.028872,0.142761,0.020413
333.0,0.258738,0.0471274,0.175552,0.222286,0.116564,0.179732
334.0,0.158707,0.0808428,0.23958,0.22208,0.0290652,0.269726
335.0,0.066316,0.395556,0.272658,0.106516,0.138064,0.0208908
336.0,0.101712,0.0881839,0.0694113,0.0926064,0.625383,0.0227028
337.0,0.0207297,0.138123,0.0921951,0.238571,0.0645995,0.445781
338.0,0.47504,0.060076,0.0389703,0.327543,0.00976958,0.0886011
339.0,0.271033,0.0184526,0.116211,0.0840926,0.448659,0.0615516
340.0,0.271109,0.377192,0.0261234,0.103871,0.119067,0.102638
341.0,0.665108,0.0194183,0.102682,0.0805446,0.0335026,0.0987447
342.0,0.170429,0.175509,0.0139561,0.325875,0.0774441,0.236787
343.0,0.248213,0.343715,0.181224,0.0327612,0.00450482,0.189582
344.0,0.133147,0.293756,0.110164,0.037178,0.224525,0.201231
345.0,0.169283,0.287434,0.160121,0.0867835,0.180508,0.11587
346.0,0.567239,0.0607899,0.0371092,0.150715,0.0298461,0.154301
347.0,0.144726,0.243158,0.446431,0.0483677,0.0614818,0.0558361
348.0,0.0103324,0.0383502,0.0235489,0.182218,0.123977,0.621574
349.0,0.011813,0.132763,0.210554,0.379491,0.109307,0.156072
350.0,0.0540342,0.233362,0.0533673,0.25193,0.253153,0.154154
351.0,0.0302812,0.00972385,0.0468974,0.0930905,0.789075,0.030932
352.0,0.0351811,0.0222757,0.543879,0.168329,0.086578,0.143757
353.0,0.0794617,0.108197,0.190406,0.0498441,0.263541,0.30855
354.0,0.0185165,0.0201778,0.072472,0.174002,0.0573929,0.657439
355.0,0.277622,0.00911671,0.147852,0.223672,0.0230154,0.318721
356.0,0.0874348,0.0829922,0.334761,0.0235689,0.371504,0.0997383
357.0,0.0378153,0.190531,0.108192,0.200553,0.123978,0.33893
358.0,0.348152,0.107422,0.228729,0.0267776,0.263457,0.0254617
359.0,0.00406567,0.114953,0.0971571,0.253548,0.0190286,0.511247
360.0,0.329255,0.497954,0.0179651,0.0770603,0.0336869,0.0440789
361.0,0.230235,0.121031,0.0985887,0.175599,0.301484,0.0730619
362.0,0.0421259,0.0653575,0.214678,0.0797681,0.287434,0.310637
363.0,0.0192186,0.00861462,0.261751,0.215271,0.368365,0.126779
364.0,0.0268634,0.239034,0.190075,0.441564,0.0544159,0.0480477
365.0,0.103175,0.0159056,0.0173278,0.280977,0.331855,0.25076
366.0,0.174909,0.0525579,0.0538825,0.25022,0.467763,0.000668366
367.0,0.566437,0.0248682,0.206649,0.0282213,0.0530542,0.12077
368.0,0.0357287,0.312309,0.0198132,0.00894015,0.411413,0.211796
369.0,0.0888094,0.120668,0.205381,0.303302,0.0894187,0.192422
370.0,0.0705806,0.0075305,0.404501,0.0245335,0.00462809,0.488226
371.0,0.464172,0.11999,0.163349,0.0897784,0.106958,0.0557516
372.0,0.028866,0.0487314,0.21096,0.377134,0.189751,0.144558
373.0,0.0910969,0.047255,0.140278,0.00942719,0.539522,0.172421
374.0,0.473864,0.00294433,0.0237087,0.320557,0.00615819,0.172768
375.0,0.072896,0.107434,0.357481,0.0781857,0.108276,0.275728
376.0,0.0262061,0.182719,0.282343,0.358297,0.112732,0.0377032
377.0,0.0397471,0.0390974,0.00745501,0.292895,0.145402,0.475403
378.0,0.0310816,0.741927,0.140073,0.0285531,0.00456187,0.0538036
379.0,0.380189,0.0441681,0.245993,0.0162233,0.116831,0.196596
380.0,0.381716,0.235092,0.0100879,0.328598,0.00118426,0.0433224
381.0,0.346545,0.180359,0.168832,0.100516,0.174833,0.0289138
382.0,0.196311,0.113156,0.10061,0.271919,0.0737385,0.244266
383.0,0.0457954,0.432114,0.0233415,0.00639703,0.193774,0.298579
