simulation,Entropy,Sharpness,Gradient,RMS_Contrast,SNR
48.0,0.623315,0.00874917,0.00538675,0.269056,0.0934932
49.0,0.0760308,0.245786,0.310498,0.103409,0.264276
50.0,0.191635,0.0951024,0.0461404,0.261103,0.406018
51.0,0.42904,0.0485319,0.164842,0.0824858,0.2751
52.0,0.186676,0.0498558,0.305254,0.0597632,0.398451
53.0,0.0940501,0.0218584,0.595135,0.0582522,0.230705
54.0,0.216125,0.547813,0.0971695,0.126886,0.012007
55.0,0.435173,0.095704,0.186592,0.23409,0.0484408
56.0,0.705161,0.131419,0.018121,0.0259749,0.119324
57.0,0.0795164,0.204332,0.465444,0.0259837,0.224724
58.0,0.293802,0.0139466,0.181601,0.00944536,0.501204
59.0,0.0361254,0.0348302,0.154922,0.321093,0.453029
60.0,0.248317,0.310477,0.197119,0.0346017,0.209485
61.0,0.055794,0.330712,0.256521,0.119546,0.237426
62.0,0.432278,0.111018,0.200307,0.202533,0.0538637
63.0,0.0786083,0.278468,0.324342,0.155761,0.16282
64.0,0.111476,0.326876,0.113825,0.26847,0.179353
65.0,0.0773036,0.370015,0.276212,0.122848,0.153621
66.0,0.046621,0.146036,0.41044,0.32232,0.074582
67.0,0.455983,0.00563468,0.163458,0.014157,0.360767
68.0,0.0124791,0.223649,0.0260993,0.65445,0.0833226
69.0,0.234594,0.195658,0.133828,0.288083,0.147837
70.0,0.295222,0.00657596,0.577265,0.0891763,0.0317605
71.0,0.081584,0.172894,0.138646,0.290348,0.316529
72.0,0.245537,0.408813,0.174548,0.0298671,0.141235
73.0,0.0486641,0.326377,0.0378873,0.210884,0.376188
74.0,0.0284821,0.201999,0.555009,0.10979,0.104719
75.0,0.101255,0.0314031,0.0274599,0.473773,0.366109
76.0,0.0671305,0.0368789,0.153238,0.495674,0.247078
77.0,0.146467,0.199547,0.3301,0.226238,0.0976484
78.0,0.051154,0.172519,0.556376,0.0305304,0.189421
79.0,0.385561,0.00187117,0.0805981,0.19801,0.33396
80.0,0.644374,0.0763921,0.0161443,0.0780774,0.185013
81.0,0.0677662,0.109899,0.363162,0.00449747,0.454676
82.0,0.0108884,0.493098,0.0304097,0.164812,0.300792
83.0,0.254885,0.0252885,0.455322,0.255224,0.00928149
84.0,0.0011637,0.022114,0.126945,0.803514,0.0462635
85.0,0.19283,0.0115728,0.215423,0.2743,0.305874
86.0,0.429418,0.313935,0.0161771,0.157223,0.0832466
87.0,0.0746188,0.355776,0.343272,0.186264,0.0400697
88.0,0.259298,0.0676048,0.349169,0.0455021,0.278426
89.0,0.074848,0.0148808,0.217342,0.0199913,0.672938
90.0,0.197618,0.106514,0.0598207,0.218797,0.41725
91.0,0.22851,0.11309,0.435827,0.199616,0.0229562
92.0,0.410882,0.0512752,0.431688,0.0393892,0.0667661
93.0,0.251257,0.0161523,0.577409,0.0983434,0.0568383
94.0,0.0704436,0.0295579,0.0338288,0.44247,0.4237
95.0,0.166556,0.37373,0.191364,0.177963,0.0903867
96.0,0.411867,0.340645,0.0228443,0.114333,0.110311
97.0,0.0211286,0.125747,0.0163057,0.413535,0.423284
98.0,0.0248129,0.0198468,0.720823,0.0722516,0.162265
99.0,0.113806,0.235718,0.191899,0.423677,0.0349
100.0,0.150463,0.0626209,0.104158,0.603906,0.0788522
101.0,0.327966,0.178075,0.0546408,0.00546225,0.433856
102.0,0.0436611,0.0896009,0.416868,0.170494,0.279377
103.0,0.0823653,0.00318018,0.290451,0.533893,0.0901102
104.0,0.06596,0.362607,0.0856173,0.155447,0.330369
105.0,0.0684638,0.306075,0.181712,0.163134,0.280616
106.0,0.0107142,0.273628,0.165317,0.240878,0.309464
107.0,0.106451,0.246546,0.145943,0.231946,0.269115
108.0,0.0644671,0.230757,0.279659,0.370492,0.0546255
109.0,0.252251,0.348871,0.0121195,0.145019,0.24174
110.0,0.0705638,0.43588,0.307077,0.0449876,0.141492
111.0,0.388093,0.0923537,0.164584,0.286342,0.0686268
112.0,0.040333,0.103089,0.275648,0.24384,0.33709
113.0,0.127032,0.146457,0.102712,0.275545,0.348253
114.0,0.274594,0.409582,0.108386,0.0303475,0.177091
115.0,0.544083,0.0336106,0.0920144,0.209661,0.120631
116.0,0.00927724,0.719424,0.134542,0.050579,0.0861779
117.0,0.00617384,0.168695,0.344868,0.16911,0.311153
118.0,0.116782,0.251858,0.122229,0.176764,0.332367
119.0,0.467441,0.0572667,0.366673,0.0119251,0.096694
120.0,0.0866493,0.106428,0.227809,0.0609102,0.518203
121.0,0.178124,0.32795,0.199521,0.165348,0.129057
122.0,0.00206589,0.33299,0.0882906,0.233916,0.342738
123.0,0.30184,0.093361,0.123564,0.0194191,0.461816
124.0,0.144198,0.337041,0.297236,0.00503561,0.216489
125.0,0.0411983,0.0215712,0.32076,0.171782,0.444688
126.0,0.656914,0.110502,0.185531,0.000627922,0.0464256
127.0,0.342721,0.00382038,0.320311,0.303405,0.029743
128.0,0.324286,0.181044,0.298935,0.0207295,0.175005
129.0,0.0775459,0.561878,0.1226,0.177863,0.0601135
130.0,0.204251,0.442467,0.337456,0.00444597,0.0113801
131.0,0.125568,0.308948,0.19151,0.0411187,0.332856
132.0,0.628044,0.0764298,0.121117,0.109736,0.064673
133.0,0.307659,0.258581,0.146564,0.043269,0.243927
134.0,0.442871,0.0792792,0.0550869,0.317198,0.105565
135.0,0.287784,0.233643,0.233649,0.0731753,0.171749
136.0,0.400179,0.187195,0.168356,0.0834351,0.160835
137.0,0.289533,0.0709166,0.140026,0.0674925,0.432032
138.0,0.0951201,0.0873637,0.203361,0.448424,0.165731
139.0,0.115791,0.0682929,0.451343,0.301272,0.0633013
140.0,0.0965586,0.0181694,0.250207,0.535124,0.0999408
141.0,0.148966,0.00197126,0.696509,0.0100109,0.142543
142.0,0.0283234,0.178606,0.20844,0.550026,0.0346051
143.0,0.150913,0.0814005,0.0407796,0.565419,0.161488
144.0,0.10022,0.585863,0.200281,0.00112952,0.112507
145.0,0.447087,0.000649478,0.178544,0.262027,0.111692
146.0,0.20136,0.457178,0.156591,0.146931,0.0379391
147.0,0.08848,0.324843,0.0816657,0.102109,0.402903
148.0,0.118245,0.0133434,0.621636,0.204489,0.0422864
149.0,0.0361279,0.274977,0.646143,0.0127786,0.0299738
150.0,0.0344193,0.052393,0.307527,0.0174162,0.588245
151.0,0.297152,0.589523,0.00115587,0.02554,0.0866296
152.0,0.0068387,0.402504,0.328324,0.0668853,0.195447
153.0,0.349952,0.127527,0.0825427,0.338906,0.101073
154.0,0.494489,0.201362,0.136348,0.0995895,0.068211
155.0,0.272177,0.0131217,0.383261,0.0225636,0.308876
156.0,0.285848,0.213803,0.207827,0.0346113,0.257911
157.0,0.423288,0.0165435,0.0966335,0.398263,0.065272
158.0,0.0334982,0.404067,0.0016854,0.00996188,0.550788
159.0,0.056815,0.437061,0.249882,0.186718,0.0695238
160.0,0.0864191,0.038929,0.719484,0.0526951,0.102472
161.0,0.355654,0.0182986,0.500239,0.0311363,0.0946721
162.0,0.00969103,0.275059,0.422155,0.154792,0.138303
163.0,0.0516494,0.200356,0.209869,0.253629,0.284497
164.0,0.281461,0.00332585,0.199501,0.165898,0.349814
165.0,0.0465593,0.414779,0.236439,0.242154,0.0600693
166.0,0.135274,0.066488,0.010229,0.700346,0.087663
167.0,0.0705235,0.449351,0.257225,0.212979,0.00992216
168.0,0.194422,0.37785,0.118756,0.252666,0.0563059
169.0,0.0380363,0.549938,0.138696,0.181771,0.0915592
170.0,0.211025,0.106617,0.0172805,0.607995,0.0570818
171.0,0.0594219,0.300526,0.169431,0.134802,0.335819
172.0,0.0267102,0.0997863,0.0940125,0.521697,0.257794
173.0,0.143454,0.10876,0.301196,0.142431,0.304159
174.0,0.0205909,0.163652,0.0406655,0.0444708,0.730621
175.0,0.362264,0.45814,0.014036,0.0654179,0.100142
176.0,0.370065,0.200283,0.00131213,0.0712363,0.357103
177.0,0.685064,0.0510414,0.0757159,0.112482,0.0756969
178.0,0.333167,0.443541,0.0422303,0.158786,0.0222752
179.0,0.0869903,0.314148,0.182356,0.0451551,0.37135
180.0,0.333384,0.325254,0.0940837,0.192074,0.0552051
181.0,0.053335,0.0790465,0.579095,0.109102,0.179422
182.0,0.112699,0.202482,0.42913,0.0623666,0.193322
183.0,0.115043,0.587909,0.0425196,0.0413523,0.213176
184.0,0.0206527,0.0781113,0.188752,0.0733296,0.639154
185.0,0.205764,0.170071,0.195754,0.333477,0.094934
186.0,0.202451,0.365922,0.29292,0.103757,0.0349501
187.0,0.0997376,0.489229,0.281206,0.120131,0.00969628
188.0,0.568064,0.0478415,0.172411,0.0906155,0.121068
189.0,0.0196733,0.0810934,0.609899,0.147128,0.142207
190.0,0.268397,0.131955,0.119764,0.0059403,0.473945
191.0,0.363543,0.152244,0.294876,0.152516,0.0368218
192.0,0.0236028,0.503823,0.191316,0.0674357,0.213823
193.0,0.151637,0.322715,0.22955,0.294896,0.00120079
194.0,0.82791,0.0091432,0.0959483,0.0254227,0.0415757
195.0,0.0715366,0.0599266,0.393142,0.0661811,0.409213
196.0,0.253117,0.144482,0.265017,0.25091,0.0864733
197.0,0.0452261,0.356072,0.0123628,0.112299,0.47404
198.0,0.0668458,0.294486,0.0650834,0.547291,0.0262938
199.0,0.105742,0.143584,0.273063,0.171177,0.306434
200.0,0.0253992,0.264728,0.407971,0.237989,0.063913
201.0,0.0888088,0.123681,0.0498485,0.426621,0.311042
202.0,0.172305,0.208872,0.494204,0.014736,0.109883
203.0,0.0540503,0.271228,0.463759,0.0740026,0.13696
204.0,0.01786,0.23573,0.137385,0.360243,0.248782
205.0,0.307152,0.105339,0.121246,0.356135,0.110128
206.0,0.207284,0.0530872,0.297989,0.216618,0.225021
207.0,0.244605,0.204108,0.0175839,0.0795822,0.454121
208.0,0.218429,0.214364,0.365768,0.104539,0.0969004
209.0,0.219812,0.0213189,0.233315,0.420944,0.104609
210.0,0.315559,0.142017,0.16899,0.132653,0.240782
211.0,0.231937,0.292629,0.102817,0.270793,0.101825
212.0,0.337697,0.159379,0.156934,0.299439,0.0465509
213.0,0.0506292,0.601606,0.179194,0.165339,0.00323125
214.0,0.0821612,0.382118,0.276649,0.0844853,0.174586
215.0,0.183465,0.237699,0.171133,0.0970826,0.31062
216.0,0.114013,0.520611,0.0196954,0.101274,0.244406
217.0,0.11769,0.428931,0.0786445,0.0267209,0.348014
218.0,0.0216653,0.170881,0.127676,0.281966,0.397812
219.0,0.167014,0.491118,0.0123142,0.101989,0.227564
220.0,0.266464,0.0870006,0.128156,0.282906,0.235473
221.0,0.218657,0.198,0.187269,0.162519,0.233555
222.0,0.347399,0.0409976,0.253007,0.00177184,0.356825
223.0,0.10851,0.122523,0.585179,0.17111,0.0126778
224.0,2.27649e-05,0.106845,0.5585,0.0411008,0.293532
225.0,0.201731,0.0254438,0.039894,0.591904,0.141027
226.0,0.128809,0.332014,0.0194384,0.275996,0.243742
227.0,0.0964244,0.0774092,0.175253,0.309055,0.341858
228.0,0.526663,0.0468716,0.0645209,0.314971,0.0469739
229.0,0.00429306,0.11346,0.172545,0.173788,0.535914
230.0,0.219399,0.128163,0.28092,0.145103,0.226414
231.0,0.398684,0.179315,0.0398052,0.0217501,0.360445
232.0,0.0913798,0.151164,0.0736498,0.0738717,0.609935
233.0,0.687465,0.0183084,0.0524115,0.123988,0.117826
234.0,0.0439887,0.24806,0.124375,0.485925,0.097652
235.0,0.168996,0.124002,0.240828,0.0654598,0.400715
236.0,0.712739,0.0144055,0.000908552,0.110861,0.161086
237.0,0.333734,0.137443,0.160199,0.239174,0.129451
238.0,0.733147,0.0143218,0.0258356,0.16019,0.0665051
239.0,0.490027,0.120871,0.0648065,0.0500489,0.274247
240.0,0.0488247,0.154767,0.312534,0.352814,0.131061
241.0,0.024393,0.233335,0.280931,0.320167,0.141173
242.0,0.660709,0.217413,0.0147269,0.013295,0.0938555
243.0,0.265046,0.0143447,0.267115,0.177199,0.276295
244.0,0.241637,0.193827,0.132218,0.292543,0.139775
245.0,0.111439,0.0981562,0.183175,0.0456156,0.561614
246.0,0.357009,0.0397102,0.281598,0.292579,0.0291034
247.0,0.202523,0.123679,0.0727084,0.106563,0.494526
248.0,0.190198,0.0941732,0.0622767,0.486848,0.166504
249.0,0.28861,0.132716,0.07133,0.334621,0.172723
250.0,0.13341,0.244019,0.33218,0.164447,0.125943
251.0,0.397787,0.0809247,0.0971795,0.327562,0.096547
252.0,0.0730898,0.408692,0.325158,0.0765912,0.116469
253.0,0.331499,0.0187569,0.2426,0.0356774,0.371466
254.0,0.514278,0.140817,0.000388525,0.0260543,0.318463
255.0,0.27567,0.00648211,0.239788,0.401151,0.0769082
256.0,0.575551,0.00706012,0.0559033,0.122987,0.238499
257.0,0.151221,0.212446,0.058096,0.087868,0.490369
258.0,0.0876043,0.0588518,0.190518,0.603394,0.0596314
259.0,0.205146,0.45762,0.0831265,0.109437,0.14467
260.0,0.131649,0.205556,0.184437,0.0838565,0.394501
261.0,0.143595,0.0678957,0.246569,0.463028,0.0789126
262.0,0.322327,0.143883,0.0118621,0.100182,0.421746
263.0,0.33825,0.0637397,0.239515,0.135013,0.223481
264.0,0.0298845,0.120715,0.166523,0.262546,0.420332
265.0,0.124524,0.121869,0.0305113,0.631478,0.091618
266.0,0.188546,0.465892,0.0321407,0.196538,0.116883
267.0,0.30599,0.120148,0.0788471,0.00243251,0.492583
268.0,0.023165,0.198539,0.0753412,0.669138,0.033816
269.0,0.325075,0.496132,0.0379004,0.0133906,0.127502
270.0,0.0599732,0.0768773,0.265264,0.415535,0.18235
271.0,0.362941,0.0269888,0.553256,0.0304295,0.0263856
272.0,0.0750858,0.1843,0.0448703,0.633708,0.0620358
273.0,0.235174,0.273675,0.0623392,0.246321,0.182491
274.0,0.0705456,0.226656,0.155728,0.0447856,0.502285
275.0,0.204142,0.392591,0.118613,0.224944,0.0597105
276.0,0.0424678,0.166097,0.23557,0.474844,0.0810208
277.0,0.00720114,0.0445628,0.0464365,0.811023,0.0907767
278.0,0.0894319,0.6225,0.181745,0.0990788,0.0072438
279.0,0.0464308,0.11545,0.126176,0.285652,0.42629
280.0,0.0659048,0.20384,0.131799,0.418317,0.180139
281.0,0.279512,0.192952,0.266928,0.145712,0.114896
282.0,0.144078,0.0675802,0.0644912,0.531171,0.19268
283.0,0.0618539,0.135044,0.219211,0.482138,0.101753
284.0,0.0130774,0.16158,0.0193896,0.770716,0.0352374
285.0,0.0167348,0.54178,0.135224,0.169089,0.137173
286.0,0.368017,0.120997,0.0891562,0.0157128,0.406117
287.0,0.046295,0.486577,0.00869282,0.359612,0.0988231
288.0,0.640308,0.262389,0.0191003,0.0200589,0.0581436
289.0,0.422181,0.108203,0.106521,0.214807,0.148288
290.0,0.206017,0.332335,0.146922,0.228619,0.0861064
291.0,0.118966,0.153451,0.0792635,0.272248,0.376071
292.0,0.0579349,0.579423,0.0215651,0.0741981,0.266879
293.0,0.235161,0.444866,0.126959,0.00720428,0.185809
294.0,0.140975,0.153126,0.0575145,0.403013,0.245371
295.0,0.423474,0.261857,0.0909025,0.0751027,0.148664
296.0,0.120888,0.0218479,0.185587,0.121666,0.550011
297.0,0.148001,0.0361084,0.278784,0.115629,0.421477
298.0,0.172903,0.269891,0.369339,0.0599502,0.127917
299.0,0.0680609,0.109372,0.0898828,0.242848,0.489836
300.0,0.249677,0.00846152,0.0717343,0.369664,0.300463
301.0,0.0831857,0.095245,0.393521,0.19108,0.236968
302.0,0.0659112,0.157792,0.258079,0.388187,0.130031
303.0,0.100269,0.0306971,0.00707366,0.599861,0.262099
304.0,0.0666463,0.128374,0.25359,0.521683,0.0297065
305.0,0.0950378,0.166751,0.487058,0.148841,0.102312
306.0,0.233176,0.0714259,0.232101,0.400839,0.0624582
307.0,0.756916,0.0309666,0.13709,0.0509589,0.024069
308.0,0.629759,0.0543814,0.123445,0.168322,0.0240926
309.0,0.16346,0.154558,0.176827,0.312747,0.192409
310.0,0.364386,0.155957,0.113064,0.0560891,0.310504
311.0,0.0994815,0.100445,0.680645,0.0120948,0.107333
312.0,0.233297,0.34867,0.334133,0.0820282,0.00187145
313.0,0.368311,0.296903,0.030725,0.235604,0.0684558
314.0,0.0353569,0.248614,0.326705,0.282052,0.107273
315.0,0.208817,0.137722,0.16229,0.287184,0.203987
316.0,0.20419,0.336653,0.094669,0.152083,0.212405
317.0,0.417473,0.0693615,0.344315,0.0756731,0.0931783
318.0,0.0699082,0.0147582,0.27424,0.250819,0.390274
319.0,0.240414,0.303072,0.094177,0.00766483,0.354672
320.0,0.038251,0.0502148,0.866505,0.0288597,0.0161697
321.0,0.0280044,0.381978,0.159996,0.144974,0.285048
322.0,0.0188104,0.0248667,0.437633,0.372951,0.145739
323.0,0.38675,0.0125337,0.127611,0.180518,0.292586
324.0,0.262007,0.256528,0.105048,0.335145,0.0412717
325.0,0.52378,0.18217,0.0307112,0.0959684,0.167371
326.0,0.287375,0.0923938,0.128676,0.379268,0.112287
327.0,0.0226369,0.369431,0.442621,0.112535,0.0527762
328.0,0.0673472,0.514346,0.126712,0.169294,0.122301
329.0,0.0897719,0.202567,0.619817,0.0758734,0.0119712
330.0,0.526232,0.0345412,0.320239,0.0619292,0.0570582
331.0,0.178727,0.146241,0.555518,0.0915846,0.02793
332.0,0.328905,0.193185,0.00597642,0.191763,0.280171
333.0,0.151806,0.210603,0.051453,0.136144,0.449994
334.0,0.00609656,0.291587,0.566251,0.022671,0.113394
335.0,0.0579228,0.162658,0.388805,0.262038,0.128576
336.0,0.04327,0.819631,0.0624141,0.0736366,0.00104814
337.0,0.42653,0.145773,0.190897,0.185696,0.0511034
338.0,0.136444,0.387833,0.296935,0.0193457,0.159442
339.0,0.342754,0.0969708,0.105934,0.032144,0.422196
340.0,0.549129,0.160754,0.0990443,0.0729093,0.118163
341.0,0.0651833,0.109937,0.0194968,0.771045,0.0343378
342.0,0.0091471,0.335624,0.133756,0.222503,0.29897
343.0,0.0830628,0.163356,0.0890684,0.459663,0.20485
344.0,0.126928,0.251889,0.0777544,0.445852,0.0975762
345.0,0.218396,0.225781,0.245697,0.0857137,0.224411
346.0,0.464684,0.0736729,0.105952,0.298985,0.0567054
347.0,0.400813,0.191812,0.192433,0.165773,0.0491686
348.0,0.157963,0.185897,0.199687,0.359218,0.0972357
349.0,0.0719522,0.414595,0.340233,0.0424505,0.130769
350.0,0.0520278,0.0860188,0.0819711,0.224547,0.555435
351.0,0.0818371,0.38873,0.286172,0.0969065,0.146354
352.0,0.181415,0.339451,0.170492,0.135267,0.173374
353.0,0.40534,0.138124,0.0114266,0.236376,0.208733
354.0,0.5991,0.0839547,0.0889709,0.109273,0.118701
355.0,0.107295,0.397069,0.0508578,0.000843354,0.443935
356.0,0.759132,0.122215,0.0140184,0.0659116,0.0387227
357.0,0.300682,0.0891071,0.241593,0.128634,0.239984
358.0,0.208256,0.478211,0.0800533,0.0925969,0.140883
359.0,0.217673,0.0678891,0.235547,0.390829,0.0880621
360.0,0.267232,0.221708,0.205308,0.173248,0.132504
361.0,0.149548,0.247912,0.432913,0.128442,0.041185
362.0,0.380708,0.314329,0.0543689,0.0605382,0.190056
363.0,0.190158,0.196113,0.256011,0.08806,0.269657
364.0,0.0760133,0.13894,0.107224,0.0252031,0.652619
365.0,0.0480096,0.0443235,0.79258,0.108575,0.00651181
366.0,0.277638,0.205199,0.32103,0.1028,0.0933325
367.0,0.0307384,0.411193,0.00941296,0.492724,0.0559318
368.0,0.335559,0.29753,0.256416,0.00907122,0.101424
369.0,0.261413,0.00521467,0.0929288,0.126297,0.514146
370.0,0.0555319,0.0457668,0.708775,0.0947383,0.0951877
371.0,0.311819,0.265755,0.125694,0.208678,0.0880546
372.0,0.610989,0.0772655,0.0773799,0.225207,0.0091595
373.0,0.0334433,0.0950231,0.0546084,0.0188722,0.798053
374.0,0.243043,0.0372152,0.228079,0.319178,0.172485
375.0,0.0224835,0.331988,0.293133,0.304863,0.0475322
376.0,0.330125,0.560889,0.0227205,0.083198,0.00306771
377.0,0.184057,0.509338,0.0021311,0.242114,0.0623597
378.0,0.314245,0.408384,0.176073,0.0146088,0.0866891
379.0,0.030615,0.766637,0.103852,0.0410746,0.0578211
380.0,0.44782,0.0152992,0.174289,0.293618,0.0689734
381.0,0.352417,0.262365,0.197216,0.165392,0.0226103
382.0,0.120938,0.0690147,0.215132,0.498073,0.096842
383.0,0.0745795,0.0885795,0.353359,0.44974,0.0337419
384.0,0.391511,0.257251,0.0160512,0.185222,0.149966
385.0,0.251249,0.0274084,0.352575,0.262746,0.106021
386.0,0.132256,0.326726,0.0104687,0.121661,0.408889
387.0,0.0806745,0.281744,0.0257677,0.212259,0.399555
388.0,0.0624733,0.721331,0.123868,0.050063,0.0422647
389.0,0.26993,0.00758177,0.146316,0.271415,0.304758
390.0,0.101058,0.166862,0.0880492,0.12157,0.522461
391.0,0.179731,0.458939,0.0929444,0.0091589,0.259227
392.0,0.423345,0.0336456,0.380916,0.0412726,0.12082
393.0,0.218899,0.0272187,0.261831,0.204254,0.287797
394.0,0.0211867,0.076928,0.435192,0.00628476,0.460409
395.0,0.349595,0.0259982,0.044876,0.402623,0.176908
396.0,0.228129,0.129426,0.237988,0.184563,0.219893
397.0,0.380579,0.00745006,0.468457,0.0724199,0.0710945
398.0,0.263332,0.45675,0.190166,0.0643359,0.0254164
399.0,0.129772,0.0185556,0.457732,0.0833729,0.310568
400.0,0.322312,0.169016,0.260609,0.164346,0.0837155
401.0,0.283199,0.262512,0.0343569,0.318833,0.101099
402.0,0.423651,0.292024,0.114081,0.14787,0.0223746
403.0,0.104075,0.0902325,0.0710237,0.0947577,0.639911
404.0,0.0660529,0.0395418,0.26347,0.175862,0.455074
405.0,0.0668048,0.460999,0.390729,0.0494135,0.0320537
406.0,0.312965,0.00933477,0.0846578,0.55524,0.0378022
407.0,0.123722,0.0895277,0.477656,0.0655297,0.243564
408.0,0.517487,0.03584,0.142505,0.163354,0.140814
409.0,0.73798,0.0215458,0.113932,0.0893694,0.0371733
410.0,0.144743,0.212551,0.218886,0.0174054,0.406415
411.0,0.0632133,0.193276,0.238697,0.330538,0.174276
412.0,0.0151675,0.0020856,0.087771,0.279134,0.615842
413.0,0.158497,0.0534896,0.323034,0.28952,0.175459
414.0,0.346008,0.19275,0.104468,0.217292,0.139481
415.0,0.670734,0.0718812,0.0438798,0.178214,0.0352916
416.0,0.0827022,0.150401,0.252694,0.463938,0.0502645
417.0,0.386787,0.35127,0.0374696,0.139075,0.0853986
418.0,0.181395,0.123417,0.618768,0.00624405,0.0701752
419.0,0.217854,0.392648,0.113097,0.161483,0.114918
420.0,0.246692,0.0564156,0.26632,0.267613,0.162959
421.0,0.0312478,0.0100342,0.0483944,0.0960619,0.814262
422.0,0.106246,0.0408532,0.0258671,0.631566,0.195467
423.0,0.122845,0.203977,0.141489,0.192654,0.339035
424.0,0.0731898,0.386977,0.453068,0.0415201,0.0452452
425.0,0.0618442,0.148485,0.0489764,0.561027,0.179667
426.0,0.0126204,0.204675,0.309633,0.0318606,0.441211
427.0,0.0971215,0.0921867,0.371849,0.02618,0.412663
428.0,0.0762596,0.0650384,0.327692,0.186079,0.34493
429.0,0.129422,0.353813,0.262914,0.0811219,0.172729
430.0,0.0619348,0.609358,0.0588911,0.00921688,0.260599
431.0,0.0753152,0.196548,0.0147508,0.396313,0.317073
432.0,0.742389,0.0267838,0.114888,0.0502231,0.0657164
433.0,0.248383,0.130571,0.106359,0.18944,0.325247
434.0,0.0456382,0.100026,0.155188,0.509742,0.189406
435.0,0.306788,0.331552,0.0240019,0.0107587,0.326899
436.0,0.267771,0.4582,0.157697,0.011753,0.104579
437.0,0.200354,0.465443,0.0573586,0.0506461,0.226198
438.0,0.0177354,0.0193212,0.313302,0.370033,0.279608
439.0,0.175026,0.0525931,0.0539185,0.250387,0.468075
440.0,0.000708468,0.685127,0.0300791,0.249951,0.0341348
441.0,0.104166,0.237119,0.0639799,0.559255,0.0354798
442.0,0.0115378,0.530952,0.273334,0.0780828,0.106093
443.0,0.241597,0.356786,0.105187,0.226353,0.070077
444.0,0.00810237,0.435219,0.0263966,0.00497955,0.525302
445.0,0.491579,0.127075,0.172994,0.0950792,0.113273
446.0,0.0466788,0.0413384,0.0697871,0.302111,0.540084
447.0,0.333496,0.254067,0.134845,0.0699484,0.207644
448.0,0.00926765,0.530391,0.169503,0.289042,0.00179595
449.0,0.0408425,0.552218,0.0106086,0.297624,0.0987072
450.0,0.115881,0.385589,0.0843333,0.116789,0.297408
451.0,0.0272329,0.189878,0.293405,0.372335,0.117149
452.0,0.126017,0.0916107,0.0901134,0.0171826,0.675076
453.0,0.101336,0.331323,0.0193125,0.460995,0.0870339
454.0,0.0473559,0.00756593,0.0892342,0.766766,0.0890783
455.0,0.265644,0.0175192,0.126164,0.212301,0.378373
